"flight_id","origin_airport_id","destination_airport_id","airline_id","passengers","freight","mail","distance","ramp_to_ramp","air_time","seats","payload","aircraft_group","aircraft_type","aircraft_config","class"
611,11292,12278,19977,180,0,0,420,139,107,332,84704,6,614,1,"F"
612,11292,12278,19977,2282,388,0,420,1835,1351,3600,846278,6,694,1,"F"
613,11292,12278,19977,3211,14,0,420,2329,1792,3968,1102165,6,698,1,"F"
614,11292,12278,20237,185,0,0,420,344,236,200,44472,6,675,1,"F"
615,11292,12278,20304,364,0,0,420,428,316,380,76000,6,673,1,"F"
616,11292,12278,20304,799,0,0,420,1474,1081,1330,353580,6,631,1,"F"
617,11292,12278,20304,1346,0,0,420,2490,1728,1450,388000,6,629,1,"F"
618,11292,12278,20452,33,0,0,420,98,64,70,19092,6,677,1,"F"
619,11292,12278,20500,1220,0,0,420,1546,1138,1400,352200,6,631,1,"F"
620,11292,12280,20304,3526,0,0,458,8981,6703,4450,1191000,6,629,1,"F"
621,11292,12339,19393,388,368,0,977,409,355,429,96600,6,619,1,"F"
622,11292,12339,19393,4516,3713,0,977,4131,3608,5250,1302000,6,614,1,"F"
623,11292,12339,19393,10509,19869,0,977,11120,9585,11726,2837200,6,612,1,"F"
624,11292,12339,19977,930,0,310,977,818,690,984,244614,6,614,1,"F"
625,11292,12339,19977,1254,404,2685,977,1247,1067,1350,328654,6,694,1,"F"
626,11292,12339,19977,2875,113,2806,977,2409,2019,3043,800721,6,634,1,"F"
627,11292,12339,20107,0,14986,0,977,136,115,0,136966,7,730,2,"G"
628,11292,12339,20107,0,2576162,0,977,4926,4147,0,4305903,6,626,2,"G"
629,11292,12339,20436,113,0,0,977,153,135,150,30000,6,698,1,"F"
630,11292,12339,20436,445,0,0,977,403,344,690,138000,6,699,1,"F"
631,11292,12339,20436,3677,0,0,977,3674,3054,4680,942000,6,694,1,"F"
632,11292,12339,20452,276,0,0,977,593,493,304,87212,6,673,1,"F"
633,11292,12339,20452,3090,0,0,977,6835,5581,3289,897324,6,677,1,"F"
634,11292,12339,20500,308,0,0,977,751,609,350,88050,6,631,1,"F"
635,11292,12389,20237,2200,0,0,576,6304,4929,2950,655962,6,675,1,"F"
636,11292,12389,20304,1016,0,0,576,2929,2267,1350,364500,6,629,1,"F"
637,11292,12389,20354,34,0,0,576,106,81,50,10808,6,675,1,"F"
638,11292,12389,20354,41,0,0,576,200,165,100,23500,6,675,1,"L"
639,11292,12441,19977,2485,507,0,406,1900,1474,2944,807479,6,698,1,"F"
640,11292,12441,19977,4739,620,0,406,3375,2592,6150,1464197,6,694,1,"F"
641,11292,12441,20304,69,0,0,406,134,64,70,18740,6,631,1,"F"
642,11292,12441,20500,2769,0,0,406,4206,3124,3430,862890,6,631,1,"F"
643,11292,12448,19977,152,0,282,967,218,190,166,38700,6,614,1,"F"
644,11292,12451,19393,1157,391,0,1447,1378,1242,1225,303800,6,614,1,"F"
645,11292,12451,19393,3238,3203,0,1447,4580,4142,3432,830400,6,612,1,"F"
646,11292,12478,19790,4559,3415,159,1626,8209,7326,4752,1240056,6,698,1,"F"
647,11292,12478,19790,7288,7102,417,1626,10832,9503,7680,1956960,6,614,1,"F"
648,11292,12478,20409,1704,0,0,1626,2982,2629,1950,486200,6,694,1,"F"
649,11292,12478,20409,5404,0,0,1626,6998,6327,6400,1388800,6,699,1,"F"
650,11292,12519,20304,1949,0,0,573,5510,4231,2600,695000,6,629,1,"F"
651,11292,12758,19977,3552,1252,0,3329,10354,9830,4056,999794,6,622,1,"F"
