"path_data_id","airline_id","passengers","freight","mail","air_time","seats","payload","class","path_id","ramp_distance_id","aircraft_type_id","aircraft_config_id"
433,20304,124,0,0,36,140,37480,"F",136,78,631,1
434,20304,3772,0,0,1004,4332,866400,"F",136,2586,673,1
435,20304,5616,0,0,2356,6750,1801500,"F",136,6039,629,1
436,20366,47,0,0,23,50,10000,"F",136,50,675,1
437,20452,65,0,0,21,76,21803,"F",136,50,673,1
438,20452,3288,0,0,916,3710,1011876,"F",136,2158,677,1
439,20237,2362,0,0,2394,2950,655962,"F",62,3783,675,1
440,20304,43,0,0,37,50,13500,"F",62,64,629,1
441,20500,3039,0,0,2370,4270,1074210,"F",62,3655,631,1
442,19393,160,167,0,148,175,43400,"F",386,167,614,1
443,19790,0,0,0,128,72,49760,"L",1,142,622,1
444,19790,2380,1,1293,3161,2640,717600,"F",1,3665,608,1
445,19977,89,0,0,144,150,36867,"F",1,172,694,1
446,19977,500,90,0,660,640,179325,"F",1,786,698,1
447,20190,0,431309,0,2944,0,1668260,"P",1,3620,617,2
448,20304,211,0,0,424,228,45600,"F",1,508,673,1
449,20304,1743,0,0,4274,2240,597200,"F",1,5275,631,1
450,20363,139,0,0,248,152,43004,"F",1,288,638,1
451,20368,1776,0,0,1686,2028,1313000,"F",1,1992,698,1
452,20436,9170,0,0,7943,10800,2196000,"F",1,9390,694,1
453,20500,1332,0,0,2688,1470,369810,"F",1,3331,631,1
454,20358,13,0,0,135,95,22500,"F",341,202,405,1
455,19393,2123,3577,0,1626,2431,547400,"F",126,1975,619,1
456,19393,5184,5345,0,2917,5600,1388800,"F",126,3486,614,1
